timestamp,temp1,hum1,temp2,hum2,localTemp,localHum
1747306014,10.2,63.5,57.5,18.1,25.2,70.0
1747306916,11.1,63.0,57.9,17.4,25.1,71.0
1747307817,11.2,63.0,57.8,17.1,24.4,71.0
1747308717,11.2,63.0,57.8,17.1,24.3,71.0
1747309616,11.4,63.3,57.8,16.8,24.4,71.0
1747310517,11.3,63.3,57.6,16.5,24.4,69.0
1747311415,11.3,63.4,57.6,16.4,24.5,68.0
1747312316,11.3,63.7,57.9,16.3,24.5,67.0
1747313215,11.3,64.0,57.8,16.4,24.5,67.0
1747314115,11.3,65.1,57.8,16.7,24.5,67.0
1747315015,11.4,65.2,57.7,16.6,24.7,68.0
1747315917,11.6,65.5,57.6,16.5,24.7,68.0
1747316817,11.2,65.2,57.8,16.4,24.5,67.0
1747317717,11.1,65.7,57.8,16.5,24.5,67.0
1747318616,11.3,66.2,57.6,16.6,24.7,67.0
1747319516,11.2,66.2,57.9,16.5,24.6,67.0
1747320416,11.3,66.2,57.9,16.4,24.6,68.0
1747321317,11.3,66.2,57.8,16.3,24.7,66.0
1747322215,11.3,66.4,58.0,16.1,24.8,66.0
1747323116,11.2,67.3,58.1,16.1,24.7,65.0
1747324022,9.6,76.2,57.7,16.0,24.8,65.0
1747324916,9.9,75.7,57.9,15.6,24.7,65.0
1747325817,9.6,80.4,58.0,15.7,24.7,63.0
1747326716,9.8,75.3,58.0,16.0,25.0,63.0
1747327618,9.9,75.1,58.0,16.1,24.9,64.0
1747328516,9.8,75.1,58.0,15.3,24.9,65.0
1747329416,10.0,74.5,57.9,15.2,24.7,64.0
1747330316,9.8,74.3,57.6,14.5,24.6,60.0
1747331216,9.9,74.5,57.9,14.9,24.5,58.0
1747332115,9.7,74.2,58.1,15.4,24.6,61.0
1747333016,9.7,74.2,58.1,15.6,24.9,61.0
1747333916,9.6,73.9,57.7,14.2,24.8,63.0
1747334816,9.2,73.6,57.1,13.4,24.6,57.0
1747335717,9.7,73.9,57.7,14.7,24.1,52.0
1747336616,9.8,73.7,57.7,15.1,24.3,58.0
1747337517,9.9,73.5,57.8,15.2,24.4,60.0
